33-40;34-40;32-40;38-40;33-40;32-40;35-40;30-40;183-240;80;>99
;;;;32;;;;;79;>99
32;;31;37;;;34;;182;78;>99
;33;;;;29-31;;29;179-181;77;>99
31;;30;35-36;30-31;;33;;174-178;76;>99
30;32;;33-34;;;;;172-173;75;99
;;29;;;28;32;28;166-171;74;99
;31;28;31-32;29;;31;;159-165;73;99
29;30;27;;;27;30;27;157-158;72;99
;;;30;28;26;29;;155-156;71;98
28;29;26;29;27;;28;;152-154;70;98
;28;25;28;26;25;;26;144-151;69;97
27;;24;27;25;24;27;;140-143;68;96
;27;;;;23;26;;139;67;96
26;;;26;24;;;25;136-138;66;95
25;26;23;;23;22;25;;133-135;65;93
;25;22;25;;21;24;24;131-132;64;92
24;24;;24;22;20;23;;129-130;63;90
;;21;;21;;22;23;125-128;62;88
23;23;20;23;;19;;;122-124;61;86
22;22;;;20;;21;22;118-121;60;84
;;19;22;;18;;;115-117;59;82
21;21;;21;19;17;20;21;113-114;58;79
20;;18;;18;;;;110-112;57;76
;20;17;20;17;16;19;20;108-109;56;73
19;19;;;;15;18;;105-107;55;69
18;;;19;16;;;19;102-104;54;66
;18;16;18;;14;17;;99-101;53;62
17;17;;;15;;;18;97-98;52;58
;;15;17;;;16;;94-96;51;54
16;16;;;14;13;;17;91-93;50;50
;;;16;;;15;;89-90;49;46
15;15;14;;13;12;;;86-88;48;42
14;;;15;;;14;16;84-85;47;38
;14;;;;;;;82-83;46;34
;;13;14;12;11;13;15;80-81;45;31
13;13;;;;;;;78-79;44;27
;;12;13;;;12;;75-77;43;24
12;12;;;11;;;14;73-74;42;21
;;;;;;;;71-72;41;18
10.marras;10.marras;10.marras;10.joulu;10;10;10.marras;loka.13;60-70;40;16
