33-40;34-40;34-40;35-40;34-40;36-40;40;37-40;188-240;80;>99
;;33;;;;38-39;33-36;;79;>99
;32-33;;34;33;;;;186-187;78;>99
;;32;33;32;31-35;37;;;77;>99
31-32;31;;;;;36;32;184-185;76;>99
;30;31;32;31;;34-35;;171-183;75;99
29-30;29;30;30-31;29-30;28-30;33;31;160-170;74;99
28;28;29;;;;;;156-159;73;99
27;27;28;29;28;27;32;30;153-155;72;99
26;;26-27;;27;26;31;;150-152;71;98
25;26;25;28;26;25;30;29;143-149;70;98
24;25;24;26-27;25;24;29;28;139-142;69;97
23;24;23;25;24;23;28;;134-138;68;96
22;23;22;24;23;21-22;27;27;127-133;67;96
21;22;21;;22;20;25-26;26;120-126;66;95
20;21;20;23;20-21;18-19;24;;113-119;65;93
;20;19;22;19;17;23;25;109-112;64;92
19;19;18;21;18;16;22;;105-108;63;90
18;18;17;20;;;21;24;99-104;62;88
;17;;19;17;15;20;23;95-98;61;86
17;16;16;;16;14;19;;92-94;60;84
16;;15;18;15;;18;22;88-91;59;82
;15;;;;13;17;21;86-87;58;79
15;;14;17;14;;;;84-85;57;76
;14;;;;12;16;20;82-83;56;73
14;;13;16;13;;15;;80-81;55;69
;13;;;;;;19;78-79;54;66
13;;;15;;;14;;77;53;62
;;12;;12;11;;18;75-76;52;58
;12;;14;;;13;;74;51;54
12;;;;;;;17;72-73;50;50
;;;;;;;;71;49;46
;;11;13;11;;12;16;70;48;42
11;11;;;;;;;68-69;47;38
;;;12;;;;15;;46;34
;;;;;;11;;67;45;31
;;;;;;;14;66;44;27
;;;11;;10;;;65;43;24
;;;;;;;13;;42;21
;;;;;;;;64;41;18
10;10;10;10;10;;10;10.joulu;60-63;40;16
